CustomerID,CustomerName,CustomerCreditLimit
2301,Flor Stone,5000
2302,Lavera Emerson,5000
2303,Fern Head,1200
2304,Shyla Ortiz,2400
2305,Jeni Levy,1200
2306,Matthias Hannah,500
2307,Matthias Cruise,500
2308,Meenakshi Mason,3600
2309,Christian Cage,2400
2310,Charlie Sutherland,3600
2311,Charlie Pacino,500
2312,Guillaume Jackson,700
2313,Daniel Costner,3700
2314,Dianne Derek,5000
2315,Geraldine Schneider,500
2316,Geraldine Martin,500
2317,Guillaume Edwards,500
2318,Maurice Mahoney,600
2319,Maurice Hasan,700
2320,Diane Higgins,700
2321,Dianne Sen,700
2322,Maurice Daltrey,900
2323,Tess Roth,1200
2324,Ka Kaufman,1200
2325,Sharyl Montoya,1200
2326,Daniel Glass,1200
2327,Rena Arnold,1200
2328,Arlyne Ingram,1200
2329,Willie Barrera,5000
2330,Mireya Cochran,300
2331,Marlene Odom,5000
2332,Jaclyn Atkinson,1900
2333,Al Schultz,500
2334,Felicitas Riley,2500
2335,Cora Calhoun,3700
2336,Trula Buckley,2400
2337,Sasha Wallace,700
2338,Caitlin Hill,100
2339,Gino Pickett,1200
2340,Amira Macdonald,5000
2341,Mack Morse,200
2342,Eboni Jarvis,400
2343,Gabrielle Dennis,900
2344,Classie Norris,1200
2345,Khalilah Holman,1500
2346,Isreal Rose,2300
2347,Verena Hopper,3600
2348,Audie Flores,700
2349,Gertrude Cooke,3600
2350,Princess Kane,700
2351,Jacinta Faulkner,500
2352,Lashon Wall,1200
2353,Corliss Mcneil,400
2354,Brock Webb,2300
2355,Melany Mcmahon,5000
2356,Rogelio Kirby,900
2357,Wallace Dillard,1200
2358,Gia Boyle,1200
2359,Tennie Gay,1200
2360,Ophelia Hurst,1200
2361,Ciara Flowers,1200
2362,Birgit Stephenson,1200
2363,Shameka Spencer,1200
2364,Alysa Kane,1200
2365,Fransisca Reeves,1200
2366,Jessika Merritt,1200
2367,Agustina Conner,1200
2368,Roxanna Wade,1400
2369,Virgie Mays,1400
2370,Trang Mcconnell,1400
2371,Nada West,1400
2372,Catherina Haney,1400
2373,Harriette Melton,1400
2374,Willette Rodgers,1400
2375,Calandra Williamson,1400
2376,Tamatha Delgado,1400
2377,Felix Ferguson,1400
2378,Elwood Hampton,1400
2379,Josh Roach,1400
2380,Luanna Scott,1500
2381,Meryl Cole,1500
2382,Jannet Elliott,815
2383,Fae Glenn,1900
2384,Francisco Cummings,2300
2385,Ermelinda Benton,2300
2386,Lasonya Beard,2300
2387,Rayna Tran,2300
2388,Annice Boyer,2300
2389,Ja Whitfield,2300
2390,Jaime Lester,2300
2391,Charlsie Lindsey,2400
2392,Jannette Henry,2400
2393,Margart Mccall,2400
2394,Twanna Cleveland,2400
2395,Bronwyn Horn,2400
2396,Jon Petersen,2400
2397,Denny Daniel,2400
2398,Avis Moore,2400
2399,Eden Burke,2400
2400,Elisha Lloyd,2400
2401,Samara Barnett,2400
2402,Nadia Sawyer,2400
2403,Melita Holcomb,2400
2404,Evita Dickerson,2400
2405,Aundrea Barry,2400
2406,Irvin Leach,2400
2407,Kellee Molina,2500
2408,Ronny Sykes,2500
2409,Ocie Walton,3500
2410,Reva Fuller,3500
2411,Marica Henderson,3600
2412,Vanetta Gross,3600
2413,Audrea Hayden,3600
2414,Neda Mcfadden,3600
2415,DellWilkinson,3700
2416,Sharee Carver,3700
2417,Joaquina Mcconnell,3700
2418,Carlyn Calderon,3700
2419,Olga Wilkins,5000
2420,Delpha Golden,5000
2421,Sharell Branch,5000
2422,Eleanor Farley,5000
2423,Justina Hayes,5000
2424,Omer Macdonald,5000
2425,Roseline Hill,5000
2426,Janeen Holt,5000
2427,Tory Avila,1200
2428,Keila Slater,5000
2429,Jazmin Burch,2400
2430,Tandy Ramsey,2400
2431,Debra Herring,1200
2432,Monnie Walker,1932
2433,Alvaro Hooper,500
2434,Lurline Dennis,2400
2435,Aurea Sanders,700
2436,Stacia Rutledge,700
2437,Philomena Elliott,3600
2438,Gonzalo Stone,3600
2439,So Hardin,3600
2440,Lauren Rodriquez,3700
2441,Loan Patton,500
2442,Ha Lowe,1500
2443,Alexandra Mcgowan,700
2444,Melissa Nichols,5000
2445,Keesha Cohen,1500
2446,Elvera Benson,5000
2447,Lanora Ray,100
2448,Jimmy Weber,100
2449,Mae Wilkinson,100
2450,Lino Noble,100
2451,Kathie Jordan,100
2452,Heike Emerson,100
2453,Princes Jones,100
2454,Doretha Tyler,100
2455,Emilio Duncan,100
2456,Glinda Lambert,200
2457,Emery Schneider,200
2458,Amado Jefferson,200
2459,Hisako Herrera,200
2460,Jamee Mclaughlin,200
2461,Audrie Cannon,200
2462,Lacey Walters,200
2463,Weldon Robinson,200
2464,Solange Gates,200
2465,Jame Calhoun,200
2466,Stefan Walters,200
2467,Arlene Elliott,200
2468,Sofia Burnett,200
2469,Christal Grant,200
2470,Violeta Stokes,200
2471,Jackeline Finley,300
2472,Heidy Massey,300
2473,Yolando Wilkerson,400
2474,Lucinda Hurley,400
2475,Gita Logan,400
2476,Felicita Alston,400
2477,Lela Ewing,400
2478,Gabriel Pollard,400
2479,Shandra Higgins,500
2480,Thomasena Pickett,500
2481,Aaron Holder,500
2482,Carlos Moody,500
2483,Javier Kim,500
2484,Fran Battle,600
2485,Shelia Brewer,600
2486,Jeri Randall,700
2487,Jermaine Cote,700
2488,Kenneth Simmons,700
2489,Dulce Matthews,700
2490,Kristle Cain,700
2491,Erika Murray,700
2492,Maud Cohen,700
2493,Rolanda Vang,700
2494,Renea Carney,900
2495,Sybil Harding,1200
2496,Colette Estrada,1200
2497,Maximo Ortega,1200
2498,Kina Larsen,1200
2499,Jarvis Allison,1200
2500,Collene Newton,1200
2501,Vella Hancock,1200
2502,Retta Martinez,1200
2503,Annelle Lawrence,1200
2504,Sherron Simon,1200
2505,Carita Mcintyre,1200
2506,Stephaine Booker,1200
2507,Emilie Parsons,1200
2508,Jaleesa Bowen,5000
2509,Jeannie Poole,5000
2510,Adrienne Lang,300
2511,Jess Nguyen,300
2512,Tandy House,1200
2513,Herman Stokes,1200
2514,Keesha Lambert,5000
2515,Lauren Williamson,5000
2516,Lucius Abbott,1900
2517,Beatrice Ford,2500
2518,Tamisha Vargas,5000
2519,Dick Lamb,500
2520,Yolanda Ball,3700
2521,Jerica Brooks,1500
2522,Nichol Carter,3700
2523,Bobby Wilson,500
2524,Eve Saunders,500
2525,Ginger Atkinson,500
2526,Kenton Harrell,2400
2527,Misti Velazquez,700
2528,Brandie Buchanan,700
2529,Kandi Holden,600
2530,Lashonda Cunningham,400
2531,Roxanne Michalkow,400
2532,Phuong Sanders,400
2533,Vida Kline,500
2534,Mayola Houston,500
2535,Cristine Bell,2300
2536,Shamika Bauer,2300
2537,Rebbeca Day,3500
2538,Maryrose Cain,3500
2539,Johnie Rojas,3500
2540,Verla Christian,3500
2541,Teressa Hewitt,1200
2542,Shenna Blair,1200
2543,Latoyia Burt,1200
2544,Shaquita Norman,3500
2545,Myrna Romero,3500
2546,Bill Stein,1400
2547,Olivia Conrad,1400
2548,Marianne Bryant,1400
2549,Dustin Paul,700
2550,Elroy Wolf,700
2551,Jadwiga Morrison,5000
2552,Isabella Ortega,5000
2553,Katia Case,5000
2554,Enriqueta Odom,1800
2555,Don Hansen,1800
2556,Herb Sloan,2300
2557,Blanche Robbins,2300
2558,Gaynell Burton,1400
2559,Marhta Baldwin,1200
2560,Peter Gamble,5000
2561,Nathan Callahan,5000
2562,Tereasa Padilla,500
2563,Merrilee Phillips,500
2564,Tisha Mcdonald,3500
2565,Napoleon Cruz,3500
2566,Basilia Downs,5000
2567,Alessandra Estrada,2300
2568,Sherron Flores,5000
2569,Elicia Townsend,900
2570,Percy Hernandez,900
2571,Shelia Cain,600
2572,Charlene Booker,200
2573,Mac Mckay,300
2574,Jamison Merritt,500
2575,Quinton Woods,500
2576,Cathey Mcdowell,1200
2577,Deneen Hays,1200
2578,Jackson Morin,1200
2579,Margo Hoffman,1200
2580,Adah Myers,1900
2581,Florene Craig,2300
2582,Janey Burris,2400
2583,Evelina Campbell,3500
2584,Thi Maxwell,3600
2585,Aleshia Reese,3700
2586,Dorotha Wong,3700
2587,Estela Donovan,2400
2588,Hassan Rivers,3600
2589,Jen Mcmahon,3700
2590,Barbie Carter,1500
2591,Cleo English,5000
2592,Liana Pena,3700
2593,Francina Slater,500
2594,Josie Steele,2400
2595,Maryrose Roberson,700
2596,Elly Salinas,100
2597,Ginny Carlson,500
2598,Mozelle Schneider,3500
2599,Adam Jacobs,1400
2600,Vernia Hayes,3500
2601,Ismael Solomon,5000
2602,Ivey Rutledge,200
2603,Jame Terrell,400
2604,Daina Combs,2300
2605,Lashunda Davidson,2400
2606,Arlette Thornton,2400
2607,Darron Robertson,2400
2608,Maple Barnett,2400
2609,Charlsie Carey,2400
2610,Frank Shannon,2400
2611,Josiah Beasley,2400
2612,Annabelle Butler,2500
2613,Ed Mueller,3600
2614,Colleen Estrada,3600
2615,Nikia Kent,3600
2616,Amber Brady,3700
2617,Wendell Massey,5000
2618,Patronick Lucas,100
2619,Pearson Randall,5000
2620,Smith Martin,3500
2621,Pelletier Ermine,2000
2622,Perry Shakira,200
2623,Peters Lauren,2600
2624,Peterson Ebonee,1100
2625,Petingill Shana,1900
2626,Petrowsky Thelma,4500
2627,Pham Hong,4900
2628,Pitt Brad,3800
2629,Potts Xana,1600
2630,Power Morissa,1900
2631,Punjabhi Louis,3800
2632,Purinton Janine,4900
2633,Quinn Sean,300
2634,Rachael Maggie,1500
2635,Rarrick Quinn,4700
2636,Ren Kylo,1600
2637,Rhoads Thomas,3600
2638,Rivera Haley,2000
